group,predictor,n,rho,ci_lo,ci_hi,crosses_zero
ABL1,ESM-1b,9,0.2333333333333333,-0.5833333333333334,0.8833333333333333,True
ABL1,ESM-2 (150M),9,-0.16666666666666669,-0.7833333333333333,0.7166666666666667,True
ABL1,ESM-2 (650M),9,-0.25,-0.8,0.55,True
ABL1,ESM-2 (3B),9,-0.3666666666666667,-0.8,0.4166666666666667,True
ABL1,BLOSUM62,9,-0.1538967528127731,-0.7,0.6333333333333333,True
ABL1,Dist. to inhibitor,9,0.401677156202747,-0.38333333333333336,0.9333333333333333,True
ABL1,Dist. to ATP pocket,9,0.5523060897787772,-0.2,1.0,True
EGFR,ESM-1b,6,-0.5428571428571429,-0.8857142857142857,0.8285714285714286,True
EGFR,ESM-2 (150M),6,-0.942857142857143,-1.0,-0.42857142857142855,False
EGFR,ESM-2 (650M),6,-0.6571428571428573,-0.8857142857142857,0.14285714285714285,True
EGFR,ESM-2 (3B),6,-0.6,-0.7714285714285715,0.42857142857142855,True
EGFR,BLOSUM62,6,-0.5002164033860248,-0.8857142857142857,0.7714285714285715,True
EGFR,Dist. to inhibitor,6,0.5797710356524485,-0.4857142857142857,1.0,True
EGFR,Dist. to ATP pocket,6,-0.05797710356524484,-0.7714285714285715,1.0,True
Combined,ESM-1b,15,-0.12142857142857141,-0.6642857142857143,0.4750892857142779,True
Combined,ESM-2 (150M),15,-0.4964285714285714,-0.8679464285714286,0.1357142857142857,True
Combined,ESM-2 (650M),15,-0.475,-0.8142857142857143,0.06785714285714285,True
Combined,ESM-2 (3B),15,-0.5142857142857142,-0.8071428571428572,-0.0035714285714285713,False
Combined,BLOSUM62,15,-0.3873026843080709,-0.7607142857142857,0.21071428571428572,True
Combined,Dist. to inhibitor,15,0.4400722605096191,-0.06785714285714285,0.7892857142857143,True
Combined,Dist. to ATP pocket,15,0.3971383814355099,-0.2392857142857143,0.8821428571428571,True
