group,comparison,n,rho_esm1b,rho_other,diff_obs,ci_lo,ci_hi,p_boot,crosses_zero
ABL1,ESM-1b vs ESM-2 (150M),9,0.2333333333333333,-0.16666666666666669,0.4,-0.8166666666666667,1.3,0.4986,True
ABL1,ESM-1b vs ESM-2 (650M),9,0.2333333333333333,-0.25,0.4833333333333333,-0.6666666666666666,1.3166666666666667,0.3543,True
ABL1,ESM-1b vs ESM-2 (3B),9,0.2333333333333333,-0.3666666666666667,0.6,-0.55,1.4333333333333333,0.2852,True
ABL1,ESM-1b vs BLOSUM62,9,0.2333333333333333,-0.1538967528127731,0.38723008614610643,-0.31666666666666665,1.1,0.4561,True
ABL1,ESM-1b vs Dist. to inhibitor,9,0.2333333333333333,0.401677156202747,-0.1683438228694137,-1.2833333333333332,1.05,0.8096,True
ABL1,ESM-1b vs Dist. to ATP pocket,9,0.2333333333333333,0.5523060897787772,-0.3189727564454439,-1.4166666666666667,0.8833333333333333,0.6084,True
EGFR,ESM-1b vs ESM-2 (150M),6,-0.5428571428571429,-0.942857142857143,0.4,0.0,1.5428571428571427,0.3377,True
EGFR,ESM-1b vs ESM-2 (650M),6,-0.5428571428571429,-0.6571428571428573,0.11428571428571432,-0.6857142857142857,1.2571428571428571,1.0601,True
EGFR,ESM-1b vs ESM-2 (3B),6,-0.5428571428571429,-0.6,0.05714285714285705,-0.9142857142857143,1.0857142857142856,1.1145,True
EGFR,ESM-1b vs BLOSUM62,6,-0.5428571428571429,-0.5002164033860248,-0.04264073947111813,-1.0285714285714285,0.8571428571428572,1.0743,True
EGFR,ESM-1b vs Dist. to inhibitor,6,-0.5428571428571429,0.5797710356524485,-1.1226281785095913,-1.7714285714285714,1.1428571428571428,0.2182,True
EGFR,ESM-1b vs Dist. to ATP pocket,6,-0.5428571428571429,-0.05797710356524484,-0.4848800392918981,-1.6,1.4857142857142858,0.5979,True
Combined,ESM-1b vs ESM-2 (150M),15,-0.12142857142857141,-0.4964285714285714,0.375,-0.32857142857142857,0.9357142857142857,0.2698,True
Combined,ESM-1b vs ESM-2 (650M),15,-0.12142857142857141,-0.475,0.35357142857142854,-0.3464285714285714,0.9785714285714286,0.3219,True
Combined,ESM-1b vs ESM-2 (3B),15,-0.12142857142857141,-0.5142857142857142,0.3928571428571428,-0.3321428571428572,1.05,0.3033,True
Combined,ESM-1b vs BLOSUM62,15,-0.12142857142857141,-0.3873026843080709,0.26587411287949947,-0.275,0.8714285714285714,0.4777,True
Combined,ESM-1b vs Dist. to inhibitor,15,-0.12142857142857141,0.4400722605096191,-0.5615008319381906,-1.2357142857142858,0.25,0.1681,True
Combined,ESM-1b vs Dist. to ATP pocket,15,-0.12142857142857141,0.3971383814355099,-0.5185669528640813,-1.2428571428571429,0.2536607142857065,0.1999,True
