group,predictor,rho,p,ci_lo,ci_hi
ABL1 (n=9),ESM-1b,0.2333333333333333,0.5456987782182727,-0.5833333333333334,0.9
ABL1 (n=9),ESM-2 (150M),-0.16666666666666669,0.668231040071504,-0.7833333333333333,0.7333333333333333
ABL1 (n=9),ESM-2 (650M),-0.25,0.5164895523012263,-0.8,0.55
ABL1 (n=9),ESM-2 (3B),-0.3666666666666667,0.33173980143301507,-0.8,0.4166666666666667
ABL1 (n=9),BLOSUM62,-0.1538967528127731,0.6926061605568505,-0.7,0.6333333333333333
ABL1 (n=9),Dist. to inhibitor,0.401677156202747,0.2838999763379956,-0.4,0.9333333333333333
ABL1 (n=9),Dist. to ATP pocket,0.5523060897787772,0.12307662993423862,-0.2,1.0
EGFR (n=6),ESM-1b,-0.5428571428571429,0.26570262390670557,-0.8857142857142857,0.7714285714285715
EGFR (n=6),ESM-2 (150M),-0.942857142857143,0.004804664723032055,-1.0,-0.42857142857142855
EGFR (n=6),ESM-2 (650M),-0.6571428571428573,0.15617492711370237,-0.8857142857142857,0.14285714285714285
EGFR (n=6),ESM-2 (3B),-0.6,0.20799999999999982,-0.8285714285714286,0.14285714285714285
EGFR (n=6),BLOSUM62,-0.5002164033860248,0.3122565813186083,-0.8857142857142857,0.7714285714285715
EGFR (n=6),Dist. to inhibitor,0.5797710356524485,0.2277839567150159,-0.42857142857142855,1.0
EGFR (n=6),Dist. to ATP pocket,-0.05797710356524484,0.9131317851623264,-0.7714285714285715,1.0
Combined (n=15),ESM-1b,-0.12142857142857141,0.6664011137233894,-0.6571428571428571,0.4785714285714286
Combined (n=15),ESM-2 (150M),-0.4964285714285714,0.05979741374992401,-0.8714285714285714,0.12857142857142856
Combined (n=15),ESM-2 (650M),-0.475,0.07357086204591354,-0.8107142857142857,0.07866071428571299
Combined (n=15),ESM-2 (3B),-0.5142857142857142,0.04983923347142064,-0.8107142857142857,-0.0035714285714285713
Combined (n=15),BLOSUM62,-0.3873026843080709,0.15378981512431933,-0.7571428571428571,0.20008928571428442
Combined (n=15),Dist. to inhibitor,0.4400722605096191,0.10067955617311726,-0.05714285714285714,0.7857142857142857
Combined (n=15),Dist. to ATP pocket,0.3971383814355099,0.14271376156644675,-0.2357142857142857,0.8892857142857142
