kinase,drug,model,n,rho
MET,Cabo,our_esm1b,5434,0.3211074741882066
MET,Camp,our_esm1b,5434,0.0386190164789092
MET,Crizo,our_esm1b,5434,0.2531744066831042
MET,Gle,our_esm1b,5434,0.1769966562810041
MET,Glu,our_esm1b,5434,0.28331327382284904
MET,Mere,our_esm1b,5434,0.18216467391207541
MET,NVP,our_esm1b,5434,0.2504054239929219
MET,Savo,our_esm1b,5434,0.4142904842261194
MET,Tepo,our_esm1b,5434,0.34058217757407194
MET,Cabo,esm2_150M,5434,0.2737670315144042
MET,Camp,esm2_150M,5434,0.0430604158814641
MET,Crizo,esm2_150M,5434,0.21334285747767032
MET,Gle,esm2_150M,5434,0.14848070820636672
MET,Glu,esm2_150M,5434,0.23717960551331124
MET,Mere,esm2_150M,5434,0.15360344703795129
MET,NVP,esm2_150M,5434,0.20788557363478405
MET,Savo,esm2_150M,5434,0.34559939891844377
MET,Tepo,esm2_150M,5434,0.28670035555446116
MET,Cabo,esm2_650M,5434,0.29460613414360676
MET,Camp,esm2_650M,5434,0.02947095982593023
MET,Crizo,esm2_650M,5434,0.23291974213151503
MET,Gle,esm2_650M,5434,0.1529073661716212
MET,Glu,esm2_650M,5434,0.2616786920091267
MET,Mere,esm2_650M,5434,0.15847754136139727
MET,NVP,esm2_650M,5434,0.2249698227668252
MET,Savo,esm2_650M,5434,0.38391581451694173
MET,Tepo,esm2_650M,5434,0.31649314966564474
MET,Cabo,esm2_3B,5434,0.3071694079770661
MET,Camp,esm2_3B,5434,0.03368519096793265
MET,Crizo,esm2_3B,5434,0.23880103356288732
MET,Gle,esm2_3B,5434,0.1616985042790421
MET,Glu,esm2_3B,5434,0.2681841081680098
MET,Mere,esm2_3B,5434,0.16567669802246143
MET,NVP,esm2_3B,5434,0.23054283983803747
MET,Savo,esm2_3B,5434,0.39605053734136214
MET,Tepo,esm2_3B,5434,0.3238918187432786
