n,true_rho,power
6,0.15,0.0651
6,0.2,0.0696
6,0.25,0.0775
6,0.3,0.09
6,0.4,0.11385
6,0.5,0.16095
9,0.15,0.0713
9,0.2,0.09045
9,0.25,0.1027
9,0.3,0.1227
9,0.4,0.1778
9,0.5,0.25895
15,0.15,0.08135
15,0.2,0.10435
15,0.25,0.13165
15,0.3,0.1768
15,0.4,0.2836
15,0.5,0.448
20,0.15,0.09255
20,0.2,0.12595
20,0.25,0.16695
20,0.3,0.22595
20,0.4,0.3716
20,0.5,0.57125
30,0.15,0.11455
30,0.2,0.1672
30,0.25,0.24495
30,0.3,0.335
30,0.4,0.55105
30,0.5,0.768
50,0.15,0.16555
50,0.2,0.2673
50,0.25,0.38195
50,0.3,0.5239
50,0.4,0.78155
50,0.5,0.94655
75,0.15,0.22915
75,0.2,0.37695
75,0.25,0.54
75,0.3,0.7082
75,0.4,0.92705
75,0.5,0.99315
100,0.15,0.3023
100,0.2,0.48455
100,0.25,0.6703
100,0.3,0.8287
100,0.4,0.9762
100,0.5,0.9996
